zung1 gwok3,China
mei5 gwok3,USA
jing1 gwok3,England
faat3 gwok3,France
dak1 gwok3,Germany
hon4 gwok3,Korea
taai3 gwok3,Thailand
jat6 bun2,Japan
lou5 wo1,Laos
seoi6 din2,Sweden
jan3 dou6,India
seoi6 si6,Switzerland
jyut6 naam4,Vietnam
gaa1 naa4 daai6,Canada
mak6 sai1 go1,Mexico
ji 3 daai6 lei6,Italy
ngo4 lo4 si1,Russia
toi4 waan1,Taiwan
ou3 zau1,Australia
au1 zau1,Europe
ngaa3 zau1,Asia
go1 leon4 bei2 aa3,Colombia
baa1 gei1 si1 taan2,Pakistan
fei1 leot6 ban1,Phillipines
baa1 sai1,Brazil
saai1 baan1 ngaa4,Spain
bei3 lou5,Peru
bing1 dou2,Iceland
