baa4 baa1,Father
maa4 maa1,Mother
go4 go1,Older brother
ze4 ze1,Older sister
dai4 dai2,Little brother (regular)
sai3 lou2,Little brother (casual)
mui4 mui2,Little sister (regular)
sai3 mui2,Little sister (casual)
zai2,Son (casual)
ji4 zi2,Son (literal)
neoi2,Daughter (casual)
neoi2 ji4,Daughter (literal)
lou5 po4,Wife (personal)
taai3 taai2,Wife (casual)
lou5 gung1,Husband (personal)
sin1 saang1,Husband (casual)
maa4 maa4,Grandma (dad's side)
po4 po2,Grandma (mom's side)
je4 je2,Grandpa (dad's side)
gung4 gung1,Grandpa (mom's side)
