nei5 faan1 gan2 me1 gung1
nei5 zou6 gan2 me1,What do you do for work?
siu2 hok6 saang1,Elementary school student
zung1 hok6 saang1,Middle school student
gou1 zung1 sang1,High school student
daai6 hok6 saang1,College student
jin4 gau3 sang1,Research student (masters)
sek6 si6 sang1,master's student
bok3 si6 sang1,PhD student
ging2 caat3
caai1 jan4,Police
siu1 fong4 jyun4,Firefighter
ji1 saang1,Doctor
leot4 si1,Lawyer
lou5 si1,Teacher
sau6 fo3 jyun4,Shopkeeper
teoi1 siu1 jyun4,Sales
fei1 gei1 si1,Pilot
haau6 coeng4,Principal
zung2 tung2,President
sau2 soeng3,Prime Minister
bei3 syu1,Secretary
jin2 jyun4,Actor
jin4 gau3 jyun4,Researcher
wu6 si6,Nurse
sip3 jing2 si1,Photographer
ji5 jyun4,Congressperson
caam1 ji5 jyun4,Senator
joek6 zai1 si1,Pharmacist
seoi2 sau2,Sailor
tou4 syu1 gun2 jyun4,Librarian
bun1 wan6 gung1 jan4,Porter
din6 nou5 cing4 sik1 jyun4,Software Engineer
gung1 cing4 si1,Engineer
soeng1 jan4,Business person / trader
gaa1 ting4 zyu2 fu5,Housewife
teoi3 jau1 jan4 si6,Retiree
